記録ID,大分類,中分類,記録種別名,記録の説明,保存期間,保存期間単位,保存期間起算基準,法的根拠,主管部門,媒体,保管場所（物理）,保管場所（電子）,メタデータ要件,アクセス制限,廃棄方法（紙）,廃棄方法（電子）,廃棄承認者,重要度,電子化要否,バックアップ要否,バックアップ頻度,監査対象,関連法令,備考,最終更新日,更新者
REC-L-001,法務・コンプライアンス,契約関連,業務委託契約書,外部事業者との業務委託に関する契約書類,10,年,契約終了日,民法第166条,法務部,紙+電子（並行）,本社書庫A,契約管理システム,電子署名、タイムスタンプ,機密,溶解処理,DOD方式消去,法務部長,重要,推奨,要,日次,対象,民法、会社法,原本は紙で保管必須,2025-01-15,総務部 田中次郎
REC-L-002,法務・コンプライアンス,契約関連,売買契約書,商品・サービスの売買契約書,10,年,契約終了日,民法第166条,法務部,紙+電子（並行）,本社書庫A,契約管理システム,電子署名,機密,溶解処理,DOD方式消去,法務部長,重要,推奨,要,日次,対象,民法、商法,,2025-01-10,総務部 田中次郎
REC-L-003,法務・コンプライアンス,契約関連,秘密保持契約書,NDA、機密保持契約,5,年,契約終了日,,法務部,電子のみ,,契約管理システム,電子署名、タイムスタンプ,機密,,論理削除,法務部長,重要,必須,要,日次,対象,,,2024-12-20,法務部 山田花子
REC-L-004,法務・コンプライアンス,訴訟関連,訴訟関係書類,訴状、準備書面、判決文等,30,年,完結日,民事訴訟法,法務部,紙+電子（並行）,本社金庫,法務文書管理システム,タイムスタンプ、暗号化,極秘,溶解処理,物理破壊,法務部長,極めて重要,必須,要,日次,対象,民事訴訟法,極秘扱い、厳重管理,2025-01-05,法務部 山田花子
REC-L-005,法務・コンプライアンス,知的財産,特許関連書類,特許出願書類、登録証等,30,年,登録日,特許法,知財部,紙+電子（並行）,本社書庫B,知財管理システム,電子署名,機密,溶解処理,論理削除,知財部長,極めて重要,必須,要,週次,対象,特許法,,2024-11-15,知財部 佐藤一郎
REC-L-006,法務・コンプライアンス,知的財産,商標関連書類,商標登録関連書類,30,年,登録日,商標法,知財部,電子のみ,,知財管理システム,電子署名,機密,,論理削除,知財部長,極めて重要,必須,要,週次,対象,商標法,,2024-11-15,知財部 佐藤一郎
REC-L-007,法務・コンプライアンス,コンプライアンス,内部監査報告書,内部監査の結果報告書,5,年,会計年度末,,監査室,電子のみ,,SharePoint>監査室,暗号化,部門限定,,論理削除,監査室長,重要,必須,要,週次,対象,会社法,,2025-01-08,監査室 鈴木健一
REC-F-001,財務・会計,会計帳簿,総勘定元帳,会計取引の総合元帳,10,年,会計年度末,会社法第432条,経理部,電子のみ,,会計システム,タイムスタンプ、電子署名,機密,,DOD方式消去,経理部長,極めて重要,必須,要,日次,対象,会社法、税法,電帳法対応必須,2025-01-12,経理部 高橋美咲
REC-F-002,財務・会計,会計帳簿,仕訳帳,日々の仕訳記録,10,年,会計年度末,会社法第432条,経理部,電子のみ,,会計システム,タイムスタンプ,機密,,DOD方式消去,経理部長,極めて重要,必須,要,日次,対象,会社法、税法,,2025-01-12,経理部 高橋美咲
REC-F-003,財務・会計,税務書類,法人税申告書,法人税の確定申告書類,7,年,申告期限,法人税法第126条,経理部,紙+電子（並行）,本社書庫C,会計システム,電子署名,機密,溶解処理,論理削除,経理部長,極めて重要,必須,要,日次,対象,法人税法,税務署提出用は紙,2025-01-10,経理部 高橋美咲
REC-F-004,財務・会計,税務書類,消費税申告書,消費税の確定申告書類,7,年,申告期限,消費税法,経理部,紙+電子（並行）,本社書庫C,会計システム,電子署名,機密,溶解処理,論理削除,経理部長,極めて重要,必須,要,日次,対象,消費税法,,2025-01-10,経理部 高橋美咲
REC-F-005,財務・会計,決算書類,有価証券報告書,金融商品取引法に基づく報告書,10,年,提出日,金融商品取引法,経理部,電子のみ,,EDINET、社内サーバー,,公開,,論理削除,経理部長,極めて重要,必須,要,日次,対象,金融商品取引法,公開情報,2024-12-25,経理部 高橋美咲
REC-F-006,財務・会計,決算書類,計算書類,貸借対照表、損益計算書等,10,年,作成日,会社法第442条,経理部,紙+電子（並行）,本社書庫A,会計システム,電子署名,部門限定,溶解処理,論理削除,経理部長,極めて重要,必須,要,日次,対象,会社法,,2024-12-28,経理部 高橋美咲
