contract_id,vendor_id,vendor_name,contract_number,contract_name,contract_type,contract_start_date,contract_end_date,contract_duration_months,total_contract_amount,monthly_amount,annual_amount,auto_renewal_flag,renewal_count,contract_signed_date,contract_department,contract_owner,has_sla,has_kpi,termination_terms,payment_terms,contract_file_location,contract_status
C000001,V00001,有限会社イノベーションコンサルティング,2024-BP-0001,有限会社イノベーショ 準委任（人月）契約,準委任（人月）,2024-11-06,2025-11-01,12,1497755,124812,1497744,False,3,2024-10-19,製造部,山本一郎,True,False,随時解約可能,月次払い,/contracts/2024/BPO・業務委託/000001.pdf,有効
C000002,V00001,有限会社イノベーションコンサルティング,2025-BP-0002,有限会社イノベーショ 固定金額（月額）契約,固定金額（月額）,2025-01-10,2026-01-05,12,2079603,173300,2079600,True,1,2024-12-17,品質管理部,清水翔太,True,False,随時解約可能,月次払い,/contracts/2025/BPO・業務委託/000002.pdf,期限切れ
C000003,V00002,株式会社コンサルティングコーポレーション,2024-人材-0003,株式会社コンサルティ 準委任（時間単価）契約,準委任（時間単価）,2024-01-19,2025-01-13,12,372120,31010,372120,True,2,2023-12-23,営業部,小林美穂,True,False,随時解約可能,年次払い,/contracts/2024/人材派遣/000003.pdf,有効
C000004,V00002,株式会社コンサルティングコーポレーション,2024-人材-0004,株式会社コンサルティ 成果報酬契約,成果報酬,2024-10-12,2025-01-10,3,480883,160294,1923528,False,3,2024-10-01,製造部,渡辺優子,True,False,1ヶ月前の書面通知,四半期払い,/contracts/2024/人材派遣/000004.pdf,有効
C000005,V00002,株式会社コンサルティングコーポレーション,2025-人材-0005,株式会社コンサルティ 準委任（人月）契約,準委任（人月）,2025-05-14,2025-08-12,3,450003,150001,1800012,False,3,2025-05-01,研究開発部,井上真由美,False,True,1ヶ月前の書面通知,月次払い,/contracts/2025/人材派遣/000005.pdf,有効
C000006,V00003,有限会社エンタープライズグループ,2025-IT-0006,有限会社エンタープラ 成果報酬契約,成果報酬,2025-04-17,2025-10-14,6,325161,54193,650316,True,1,2025-04-01,総務部,佐藤恵,True,False,3ヶ月前の書面通知,年次払い,/contracts/2025/IT・システム開発/000006.pdf,有効
C000007,V00003,有限会社エンタープライズグループ,2025-IT-0007,有限会社エンタープラ 準委任（時間単価）契約,準委任（時間単価）,2025-11-12,2026-11-07,12,1884704,157058,1884696,True,0,2025-11-01,企画部,佐藤花子,False,False,随時解約可能,月次払い,/contracts/2025/IT・システム開発/000007.pdf,解約済
C000008,V00004,有限会社コンサルティングシステムズ,2024-IT-0008,有限会社コンサルティ 準委任（人月）契約,準委任（人月）,2024-07-15,2025-07-10,12,12809895,1067491,12809892,False,0,2024-06-17,人事部,林美穂,True,True,3ヶ月前の書面通知,月次払い,/contracts/2024/IT・システム開発/000008.pdf,有効
C000009,V00004,有限会社コンサルティングシステムズ,2024-IT-0009,有限会社コンサルティ 固定金額（一括）契約,固定金額（一括）,2024-09-20,2024-12-19,3,2445445,815148,9781776,True,3,2024-09-04,営業部,山本花子,False,False,随時解約可能,都度払い,/contracts/2024/IT・システム開発/000009.pdf,期限切れ
C000010,V00005,有限会社セキュリティソリューションズ,2024-IT-0010,有限会社セキュリティ 固定金額（一括）契約,固定金額（一括）,2024-06-06,2025-06-01,12,310675,25889,310668,True,3,2024-05-22,製造部,渡辺大輔,False,True,3ヶ月前の書面通知,年次払い,/contracts/2024/IT・システム開発/000010.pdf,有効
C000011,V00005,有限会社セキュリティソリューションズ,2025-IT-0011,有限会社セキュリティ 準委任（時間単価）契約,準委任（時間単価）,2025-05-15,2025-11-11,6,11479808,1913301,22959612,True,0,2025-04-21,情報システム部,佐藤優子,False,False,3ヶ月前の書面通知,月次払い,/contracts/2025/IT・システム開発/000011.pdf,有効
C000012,V00006,株式会社イノベーションイノベーション,2024-BP-0012,株式会社イノベーショ 固定金額（月額）契約,固定金額（月額）,2024-10-02,2025-09-27,12,2191083,182590,2191080,True,0,2024-09-02,製造部,清水浩,True,True,随時解約可能,四半期払い,/contracts/2024/BPO・業務委託/000012.pdf,有効
C000013,V00006,株式会社イノベーションイノベーション,2024-BP-0013,株式会社イノベーショ 準委任（時間単価）契約,準委任（時間単価）,2024-07-08,2025-07-03,12,374390,31199,374388,True,0,2024-06-30,品質管理部,佐々木翔太,True,True,3ヶ月前の書面通知,年次払い,/contracts/2024/BPO・業務委託/000013.pdf,有効
