回答者ID,所属部門,地域,回答者氏名・役職,管掌範囲,主要な管理対象,昨年度IT予算執行額,新しいツールやシステムを導入する時、実際にどのように決めていますか？,判断する時に重視することは何ですか？,中央ITや他部門に相談しますか？,新しいツール・システムの導入で困ることは？,システムの設計・検討段階で、セキュリティをどのように考慮していますか？,ID・アクセス管理 - 認証方法,ID・アクセス管理 - 権限管理,ID・アクセス管理 - 管理方法,データの保護設計はどうなっていますか？,リリース前の検証・評価はどうしていますか？,セキュリティ設計・実装で困ることは？,他部門からデータ提供を依頼された時、どう対応していますか？,データの機密度分類（重要度のランク付け）をしていますか？,データの品質管理はどうしていますか？,重要なデータのバックアップは？,データ管理で困ることは？,本番システムに変更を加える時、どうしていますか？,変更が失敗した時の対応は？,システムトラブルが起きた時、どう対応していますか？,トラブルの重大度は定義されていますか？,トラブル後の振り返りはしていますか？,システム変更・トラブル対応で困ることは？,IT予算はどのように決まっていますか？,予算の使い方に制約はありますか？,予算超過しそうな時はどうしますか？,クラウド（AWS/Azure/GCP等）を使っていますか？,クラウドコストの管理は？,予算・コスト管理で困ることは？,予算・コスト管理で、どんな支援があれば役立ちますか？,ベンダー・SaaSを新規契約する時、どのように決めていますか？,ベンダー選定時に誰が関与しますか？,技術選定やシステム導入で相談する相手は？,ベンダー選定・管理で困っていることは？,どんな支援があれば役立ちますか？,他部門との調整で困ることは？,他地域との調整で困ることは？,どんな基準や支援があれば、もっと迅速に判断・活動できますか？,その他ITガバナンスに関して、ご意見・提言・アイデア等
R001,本社系IT,日本,回答者760,業務アプリケーション、その他,受注プロセス,1779,中央ITに相談,ベンダーサポート(1)、コスト(2)、その他(3),時々相談する,技術的な評価ができる人材がいない、比較検討する時間がない,外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している,MFA（二段階認証）、単一パスワード、SSO（シングルサインオン）連携,個別に都度付与、役割ベース（RBAC）,1Password等の管理ツール、中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能,操作ログの改ざん防止・長期保存、保存データの暗号化、通信経路の暗号化（SSL/TLS等）,脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト,自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,個人情報が含まれるかチェック,していない / 分類方法がわからない,その他,していない,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,ロールバック（切り戻し）手順を準備、チーム内でレビュー、変更計画書を作成,ロールバック手順がある,トラブル記録を残す、中央ITに連絡、チーム内で対応,定義がない,必ずする,緊急時の手続きが不明確,部門全体の予算から配分、前年度実績ベース,用途別に厳格に管理,他の項目を削って調整、次年度に延期、諦める / サービスを停止する,使っていない,請求書が来てから確認,予算執行の柔軟性がない、他部門と重複投資している気がする、予算申請の手続きが不明確,他部門の予算事例・ベンチマーク情報、予算計画策定の相談窓口,"セキュリティ評価（ISMS, SOC2等）を実施",ベンダー・SaaS提供元、中央IT,他部門の経験者(1)、チーム内で議論(2)、ベンダー・SaaS提供元(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい、複数社を比較する時間がない、技術的な評価ができない,価格妥当性の評価、契約条件のレビュー、ベンダー比較評価のサポート,優先順位が合わず、対応してもらえない,言語の壁、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,その他、技術標準やベストプラクティスの共有,
R002,ビジネス系IT,北米,回答者781,IT組織,販売管理システム,9913,チーム内で必要性を議論,既存システムとの連携(1)、ベンダーサポート(2)、チーム内に使える人がいるか(3),必ず相談する,技術的な評価ができる人材がいない、予算取りの手続きが不明確,企画段階でセキュリティ要件（守るべきデータ等）を定義している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している,MFA（二段階認証）,個別に都度付与、役割ベース（RBAC）、共通アカウントを複数人で利用,Excelやメモで管理、ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）、1Password等の管理ツール,操作ログの改ざん防止・長期保存,ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,データの機密度で判断,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,特に手順なし、その場で判断,その場で対応方法を考える、過去の失敗事例を参考にする,上司に報告,わからない,必ずする,過去のトラブル情報が共有されていない、緊急時の手続きが不明確、承認プロセスが遅い,プロジェクトの積み上げ、上位組織から割り当て、前年度実績ベース、部門全体の予算から配分,よくわからない,諦める / サービスを停止する,使っている,毎月モニタリング,他部門と重複投資している気がする,予算計画策定の相談窓口、予算申請テンプレート・ガイドライン,他部門の導入実績を参考,調達部門、中央IT、法務、自分（現場担当者）,上司・部門長(1)、中央IT(2)、その他(3),ベンダーを変更したいが難しい,他部門の導入事例共有、価格妥当性の評価、推奨ベンダーリスト、ベンダー比較評価のサポート,誰に連絡すればいいかわからない（窓口不明）,優先順位が合わず、対応してもらえない,他部門・他地域との調整を支援する仲介役、技術標準やベストプラクティスの共有,承認プロセスを簡素化してほしい
R003,工場系IT,EMEA,回答者579,基盤・インフラ、その他、業務アプリケーション,インフラ全般,4010,調達部門に依頼、無料トライアルで試用,その他(1)、チーム内に使える人がいるか(2)、コスト(3),相談先がわからない,予算取りの手続きが不明確,ネットワーク構成図を作成し、境界防御（FW等）を確認している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している、企画段階でセキュリティ要件（守るべきデータ等）を定義している,MFA（二段階認証）、単一パスワード,共通アカウントを複数人で利用、個別に都度付与、役割ベース（RBAC）,1Password等の管理ツール、中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査、脆弱性診断（スキャン）を自部署で実施,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している,依頼内容を確認,規程通りに分類している,定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,自動バックアップ,データのオーナー（責任者）が誰か不明確,変更記録を残す、テスト環境で事前検証、チーム内でレビュー、ロールバック（切り戻し）手順を準備,ロールバック手順がある、過去の失敗事例を参考にする、その場で対応方法を考える,ベンダーに連絡、中央ITに連絡,明確な定義がある,重大なもののみ,緊急時の手続きが不明確、過去のトラブル情報が共有されていない,前年度実績ベース、プロジェクトの積み上げ,上司の承認が必要,他の項目を削って調整、上司に相談して追加予算を申請、次年度に延期、諦める / サービスを停止する,使っていない,予算アラート設定、四半期ごとに確認、コスト最適化施策を実施（リザーブドインスタンス等）,予算執行の柔軟性がない,クラウドコスト見積もりツール,その他,自分（現場担当者）,外部コンサルタント(1)、上司・部門長(2)、ベンダー・SaaS提供元(3),契約条件が妥当か判断できない,価格妥当性の評価、他部門の導入事例共有、契約条件のレビュー、ベンダー比較評価のサポート,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,意思決定プロセス（誰の許可が必要か）が不透明、言語の壁、優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない,「全社推奨ツール・ベンダー」のリスト、投資額ごとの「スピード承認」枠組み,
R004,ビジネス系IT,EMEA,回答者704,その他、業務アプリケーション、基盤・インフラ,セキュリティ,1246,調達部門に依頼、チーム内で必要性を議論,セキュリティ(1)、その他(2)、チーム内に使える人がいるか(3),時々相談する,承認に時間がかかりすぎる、承認者が不明確（誰に判をもらえばいいか不明）、機密情報の定義が難しく、導入して良いか判断に迷う,ネットワーク構成図を作成し、境界防御（FW等）を確認している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、企画段階でセキュリティ要件（守るべきデータ等）を定義している,MFA（二段階認証）,共通アカウントを複数人で利用、個別に都度付与、役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、Excelやメモで管理,操作ログの改ざん防止・長期保存,脆弱性診断（スキャン）を自部署で実施、外部ベンダーによるペネトレーションテスト、ソースコードの静的解析を実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない,データの機密度で判断、依頼者が社内なら基本的に提供,規程通りに分類している,その他,クラウド/システム任せ（詳細は不明）,データ共有の安全な送り方がわからない、その他,チーム内でレビュー,ロールバック手順がある,上司に報告、トラブル記録を残す,明確な定義がある,必ずする,過去のトラブル情報が共有されていない,部門全体の予算から配分、プロジェクトの積み上げ、上位組織から割り当て、前年度実績ベース,総額内なら自由,諦める / サービスを停止する、次年度に延期,使っている,その他,予算執行の柔軟性がない、クラウドコストが予測できない、予算申請の手続きが不明確,IT投資の費用対効果評価の支援、他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン,他部門の導入実績を参考、調達部門に依頼,自分（現場担当者）、中央IT,ベンダー・SaaS提供元(1)、中央IT(2)、他部門の経験者(3),技術的な評価ができない,その他,意思決定プロセス（誰の許可が必要か）が不透明、誰に連絡すればいいかわからない（窓口不明）,特に困っていない,他部門・他地域との調整を支援する仲介役、技術標準やベストプラクティスの共有,
R005,インフラ,日本,回答者500,基盤・インフラ,セキュリティ,8056,調達部門に依頼、上司に報告・承認を得る、複数の候補を比較検討,その他(1)、使いやすさ(2)、セキュリティ(3),時々相談する,技術的な評価ができる人材がいない、比較検討する時間がない、予算取りの手続きが不明確、承認に時間がかかりすぎる,開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している,MFA（二段階認証）、単一パスワード,個別に都度付与、共通アカウントを複数人で利用,Excelやメモで管理、1Password等の管理ツール、ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,操作ログの改ざん防止・長期保存,脆弱性診断（スキャン）を自部署で実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない,上司に確認,していない / 分類方法がわからない,問題が起きたら都度対応,自動バックアップ,特に困っていない,変更記録を残す、ロールバック（切り戻し）手順を準備,事前に計画していない,チーム内で対応,定義がない,していない,過去のトラブル情報が共有されていない、緊急時の手続きが不明確,前年度実績ベース、部門全体の予算から配分,用途別に厳格に管理,上司に相談して追加予算を申請,使っていない,毎月モニタリング、請求書が来てから確認、コスト最適化施策を実施（リザーブドインスタンス等）,他部門と重複投資している気がする,コスト最適化のベストプラクティス共有、クラウドコスト見積もりツール,"中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施、他部門の導入実績を参考",調達部門、上司・部門長、自分（現場担当者）,中央IT(1)、ベンダー・SaaS提供元(2)、上司・部門長(3),契約条件が妥当か判断できない、複数社を比較する時間がない、技術的な評価ができない、ベンダーを変更したいが難しい,契約条件のレビュー、価格妥当性の評価,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,他部門・他地域との調整を支援する仲介役、セキュリティリスクの「セルフチェックリスト」、困った時の「技術相談窓口」の明確化、「全社推奨ツール・ベンダー」のリスト,
R006,工場系IT,日本,回答者96,業務アプリケーション、IT共通,受注プロセス,5116,上司に報告・承認を得る、中央ITに相談、無料トライアルで試用,ベンダーサポート(1)、既存システムとの連携(2)、セキュリティ(3),ほぼ相談しない,承認者が不明確（誰に判をもらえばいいか不明）、比較検討する時間がない、技術的な評価ができる人材がいない、予算取りの手続きが不明確,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード、SSO（シングルサインオン）連携、MFA（二段階認証）,共通アカウントを複数人で利用、個別に都度付与,Excelやメモで管理,操作ログの改ざん防止・長期保存、保存データの暗号化,中央IT/セキュリティ部門によるアーキテクチャ審査、脆弱性診断（スキャン）を自部署で実施,特に困っていない,特に基準なくケースバイケース,規程通りに分類している,品質測定指標（SLA）を設定している、問題が起きたら都度対応,自動バックアップ,データのオーナー（責任者）が誰か不明確,特に手順なし、その場で判断,過去の失敗事例を参考にする,中央ITに連絡,わからない,方法がわからない,過去のトラブル情報が共有されていない、緊急時の手続きが不明確、承認プロセスが遅い,プロジェクトの積み上げ、部門全体の予算から配分、上位組織から割り当て、前年度実績ベース,よくわからない,その他,使っていない,コスト最適化施策を実施（リザーブドインスタンス等）,コスト配分の基準がわからない,コスト最適化のベストプラクティス共有、予算申請テンプレート・ガイドライン、クラウドコスト見積もりツール,無料トライアルで評価,ベンダー・SaaS提供元、法務、中央IT、上司・部門長,チーム内で議論(1)、上司・部門長(2)、中央IT(3),複数社を比較する時間がない、契約条件が妥当か判断できない、ベンダーを変更したいが難しい、技術的な評価ができない,セキュリティ評価の支援、ベンダー比較評価のサポート,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,意思決定プロセス（誰の許可が必要か）が不透明、言語の壁,技術標準やベストプラクティスの共有、「全社推奨ツール・ベンダー」のリスト、困った時の「技術相談窓口」の明確化、セキュリティリスクの「セルフチェックリスト」,
R007,工場系IT,日本,回答者613,IT共通,インフラ全般,9991,複数の候補を比較検討,コスト(1)、ベンダーサポート(2)、既存システムとの連携(3),時々相談する,特に困っていない,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している,単一パスワード、MFA（二段階認証）,個別に都度付与、役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、Excelやメモで管理,保存データの暗号化、通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存,外部ベンダーによるペネトレーションテスト,特に困っていない,特に基準なくケースバイケース,規程通りに分類している,問題が起きたら都度対応、品質測定指標（SLA）を設定している,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う,承認を得る、テスト環境で事前検証,事前に計画していない,その他,なんとなく判断している,必ずする,緊急時の手続きが不明確、過去のトラブル情報が共有されていない、承認プロセスが遅い,上位組織から割り当て,総額内なら自由,諦める / サービスを停止する,使っていない,予算アラート設定、コスト最適化施策を実施（リザーブドインスタンス等）、四半期ごとに確認,予算執行の柔軟性がない、クラウドコストが予測できない,その他,"既存ベンダーから選定、中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施、複数社を比較検討",法務、ベンダー・SaaS提供元、中央IT,その他(1)、上司・部門長(2)、ベンダー・SaaS提供元(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい、技術的な評価ができない,推奨ベンダーリスト、価格妥当性の評価、セキュリティ評価の支援,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,時差による調整の困難、優先順位が合わず、対応してもらえない、言語の壁、技術仕様や標準が異なり、話が噛み合わない,投資額ごとの「スピード承認」枠組み、困った時の「技術相談窓口」の明確化、技術標準やベストプラクティスの共有,
R008,工場系IT,EMEA,回答者148,その他、業務アプリケーション,販売管理システム,7792,無料トライアルで試用、中央ITに相談、上司に報告・承認を得る,使いやすさ(1)、ベンダーサポート(2)、チーム内に使える人がいるか(3),必ず相談する,技術的な評価ができる人材がいない、特に困っていない,特に明文化された設計プロセスはない,MFA（二段階認証）、単一パスワード、SSO（シングルサインオン）連携,共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）,保存データの暗号化、個人情報・機密情報のマスキング（非表示化）処理、通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト,多層防御などの高度な設計スキルが不足している、自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない,依頼者が社内なら基本的に提供、個人情報が含まれるかチェック、データの機密度で判断、上司に確認,していない / 分類方法がわからない,問題が起きたら都度対応、品質測定指標（SLA）を設定している,自動バックアップ,データのオーナー（責任者）が誰か不明確,変更計画書を作成,過去の失敗事例を参考にする、その場で対応方法を考える,チーム内で対応、ベンダーに連絡、中央ITに連絡、上司に報告,定義がない,重大なもののみ,過去のトラブル情報が共有されていない,部門全体の予算から配分、上位組織から割り当て、プロジェクトの積み上げ,上司の承認が必要,次年度に延期、上司に相談して追加予算を申請、諦める / サービスを停止する、他の項目を削って調整,使っていない,コスト最適化施策を実施（リザーブドインスタンス等）、請求書が来てから確認,他部門と重複投資している気がする、予算執行の柔軟性がない,コスト最適化のベストプラクティス共有、予算申請テンプレート・ガイドライン,その他、複数社を比較検討,自分（現場担当者）、調達部門,中央IT(1)、外部コンサルタント(2)、ベンダー・SaaS提供元(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい,推奨ベンダーリスト、契約条件のレビュー、セキュリティ評価の支援,特に困っていない,誰に連絡すればいいかわからない（窓口不明）,技術標準やベストプラクティスの共有、困った時の「技術相談窓口」の明確化,
R009,セキュリティ,北米,回答者93,ビジネスプロセス、基盤・インフラ,販売管理システム,7551,中央ITに相談、上司に報告・承認を得る、無料トライアルで試用,使いやすさ(1)、既存システムとの連携(2)、その他(3),ほぼ相談しない,技術的な評価ができる人材がいない、機密情報の定義が難しく、導入して良いか判断に迷う、予算取りの手続きが不明確,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、開発/テスト環境と本番環境を分離している、企画段階でセキュリティ要件（守るべきデータ等）を定義している、外部公開する窓口（APIやWeb公開）を最小限に絞っている,MFA（二段階認証）,役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理、保存データの暗号化、操作ログの改ざん防止・長期保存,脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している,依頼者が社内なら基本的に提供、上司に確認、依頼内容を確認,規程通りに分類している,定期的なエラーチェック（重複・欠損値の確認）,していない,その他,チーム内でレビュー,ロールバック手順がある,上司に報告、中央ITに連絡,わからない,方法がわからない,過去のトラブル情報が共有されていない,部門全体の予算から配分,よくわからない,その他,使っていない,毎月モニタリング,予算申請の手続きが不明確、他部門と重複投資している気がする、予算執行の柔軟性がない,予算申請テンプレート・ガイドライン、クラウドコスト見積もりツール、予算計画策定の相談窓口,他部門の導入実績を参考,法務、ベンダー・SaaS提供元、自分（現場担当者）,ベンダー・SaaS提供元(1)、他部門の経験者(2)、上司・部門長(3),特に困っていない,ベンダー比較評価のサポート,その他、誰に連絡すればいいかわからない（窓口不明）,技術仕様や標準が異なり、話が噛み合わない、言語の壁、優先順位が合わず、対応してもらえない、時差による調整の困難,他部門・他地域との調整を支援する仲介役、技術標準やベストプラクティスの共有、「全社推奨ツール・ベンダー」のリスト,
R010,本社系IT,北米,回答者465,IT組織、IT共通、ビジネスプロセス,販売管理システム,9133,上司に報告・承認を得る、調達部門に依頼,他部門での導入実績(1)、その他(2)、チーム内に使える人がいるか(3),ほぼ相談しない,その他,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、外部公開する窓口（APIやWeb公開）を最小限に絞っている、ネットワーク構成図を作成し、境界防御（FW等）を確認している、企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード、SSO（シングルサインオン）連携,個別に都度付与,ブラウザの保存機能、Excelやメモで管理、1Password等の管理ツール,保存データの暗号化、通信経路の暗号化（SSL/TLS等）、操作ログの改ざん防止・長期保存,その他、脆弱性診断（スキャン）を自部署で実施,セキュリティ要件の具体的な書き方がわからない、報告・相談先（セキュリティ担当者）がわからない,提供記録（いつ・誰に）を残す、データの機密度で判断,していない / 分類方法がわからない,品質測定指標（SLA）を設定している,自動バックアップ,特に困っていない,変更記録を残す、ロールバック（切り戻し）手順を準備、チーム内でレビュー、承認を得る,ロールバック手順がある、過去の失敗事例を参考にする,チーム内で対応、トラブル記録を残す、上司に報告,明確な定義がある,必ずする,承認プロセスが遅い,プロジェクトの積み上げ,総額内なら自由,上司に相談して追加予算を申請,使っている,請求書が来てから確認、四半期ごとに確認、予算アラート設定、コスト最適化施策を実施（リザーブドインスタンス等）,クラウドコストが予測できない,コスト最適化のベストプラクティス共有,"調達部門に依頼、他部門の導入実績を参考、セキュリティ評価（ISMS, SOC2等）を実施、中央ITに相談",法務、自分（現場担当者）,中央IT(1)、ベンダー・SaaS提供元(2)、チーム内で議論(3),契約条件が妥当か判断できない、複数社を比較する時間がない、ベンダーを変更したいが難しい、技術的な評価ができない,その他,技術仕様や標準が異なり、話が噛み合わない,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない、時差による調整の困難,セキュリティリスクの「セルフチェックリスト」、技術標準やベストプラクティスの共有、困った時の「技術相談窓口」の明確化、「全社推奨ツール・ベンダー」のリスト,
